home_team,away_team,elo_diff,elo_sum,home_team_h2h_wins,away_team_h2h_wins,h2h_draws,rank_diff,rank_sum,is_friendly,home_count_last5,away_count_last5,pts_pg_diff_last5,pts_pg_sum_last5,gf_pg_diff_last5,ga_pg_diff_last5,neutral
France,Iraq,327.7087043413969,3791.6749619307393,0,0,0,-56,58,False,5,5,1.2000000000000002,4.0,1.5999999999999999,-0.20000000000000007,True
Norway,Senegal,-50.20165155313134,3710.293565180194,0,1,0,17,45,False,5,5,-0.3999999999999999,3.6,0.6000000000000001,0.0,True
Portugal,Uzbekistan,146.032250855553,3748.2871316944875,0,0,0,-45,55,False,5,5,0.20000000000000018,3.0,1.2000000000000002,0.0,True
Colombia,DR Congo,196.95843026254238,3660.317473555867,0,0,0,-33,59,False,5,5,-0.6000000000000001,3.4,0.19999999999999996,1.0,True
England,Ghana,357.4636209801922,3660.4759711645556,0,0,1,-70,78,False,5,5,1.4000000000000001,1.8,0.6,-1.6,True
Panama,Croatia,-148.08799366054882,3721.6580531650725,0,0,0,22,44,False,5,5,-0.8,3.2,-1.0,-0.5999999999999999,True
Scotland,Brazil,-183.868837366894,3726.1761435557682,0,8,2,37,49,False,5,5,-0.19999999999999996,2.2,-0.19999999999999996,0.0,True
Bosnia and Herzegovina,Qatar,2.0654572700145764,3272.865761041566,0,1,1,10,120,False,5,5,0.4,1.6,0.39999999999999997,-0.4,True
Morocco,Haiti,190.31471339665836,3627.1645319070813,0,0,0,-75,91,False,5,5,0.6000000000000001,3.0,0.6,0.0,True
South Africa,South Korea,-185.91779653907906,3521.885136517512,0,0,0,35,85,False,5,5,-0.4,1.6,0.39999999999999997,0.0,True
Mexico,Czech Republic,118.83407348220908,3559.5482220629647,0,1,0,-26,56,False,5,5,0.0,2.8,-1.0,-0.6000000000000001,False
Canada,Switzerland,-49.59360435163239,3582.5171019084246,1,0,0,11,49,False,5,5,0.5999999999999999,2.2,0.0,-0.6,False
United States,Turkey,-45.063105515289635,3630.8593001414665,2,2,1,-6,38,False,5,5,-0.8,2.8,0.5999999999999999,1.2000000000000002,False
Paraguay,Australia,-43.660232159350926,3693.5704514036897,0,2,3,13,67,False,5,5,0.0,3.2,-0.3999999999999999,-0.20000000000000007,True
Curaçao,Ivory Coast,-117.89973702431985,3419.9683223238135,0,0,0,48,116,False,5,5,-1.0,2.2,-1.2,0.7999999999999999,True
Ecuador,Germany,-17.128844360497396,3776.5688842206773,0,2,0,13,33,False,5,5,-0.8000000000000003,3.6,-1.5999999999999999,-0.4,True
Japan,Sweden,200.73373491157417,3645.3231020140893,0,1,3,-20,56,False,5,5,0.40000000000000013,4.0,-0.3999999999999999,-0.8,True
Tunisia,Netherlands,-187.36882835191113,3703.0387465472813,0,1,2,37,51,False,5,5,-0.40000000000000013,3.2,-0.9999999999999999,-0.2,True
Egypt,Iran,-82.97543606089175,3619.2649277140654,0,0,1,8,50,False,5,5,0.19999999999999996,2.5999999999999996,-0.3999999999999999,-0.4,True
New Zealand,Belgium,-90.17519279290445,3662.1889594762515,0,0,0,76,94,False,5,5,-0.8,2.8,-1.8,0.4,True
Cape Verde,Saudi Arabia,-62.80672643952198,3388.962727609318,0,0,0,8,130,False,5,5,0.4,1.2000000000000002,0.6000000000000001,-0.19999999999999996,True
Uruguay,Spain,-172.29039115857358,3912.062516443675,0,5,5,15,19,False,5,5,-0.5999999999999999,2.2,-0.6,0.7999999999999999,True
Norway,France,-203.24006888917188,3871.9416663800976,5,7,4,30,32,False,5,5,-1.0000000000000002,3.4000000000000004,-0.6000000000000001,0.0,True
Senegal,Iraq,121.85867213862684,3630.026860730836,0,0,0,-43,71,False,5,5,0.6000000000000001,2.6,0.6,0.0,True
DR Congo,Uzbekistan,-65.97159057779209,3560.1150164578826,0,0,0,-4,96,False,5,5,0.20000000000000018,3.0,-0.4,-0.39999999999999997,True
Panama,England,-186.9161947864386,3784.6162816170454,0,1,0,29,37,False,5,5,0.0,2.4,0.0,0.19999999999999996,True
Jordan,Argentina,-285.4221356791488,3785.9123343932424,0,0,0,60,66,False,5,5,-1.4000000000000001,3.0,-0.6000000000000001,1.2,True
Algeria,Austria,24.243877568441576,3603.5486000166784,0,1,0,4,52,False,5,5,-0.6000000000000001,3.0,0.0,0.0,True
Colombia,Portugal,-21.99806756082853,3848.4895887924713,0,0,0,8,18,False,5,5,-0.8,2.8,-1.2000000000000002,0.8,True
Croatia,Ghana,248.0982767869557,3597.5177427125827,0,0,0,-63,85,False,5,5,1.2000000000000002,2.0,0.7999999999999999,-0.40000000000000013,True
